"ClientAccountID","AccountAlias","Model","CurrencyPrimary","FXRateToBase","AssetClass","SubCategory","Symbol","Description","Conid","SecurityID","SecurityIDType","CUSIP","ISIN","FIGI","ListingExchange","UnderlyingConid","UnderlyingSymbol","UnderlyingSecurityID","UnderlyingListingExchange","Issuer","IssuerCountryCode","Multiplier","Strike","Expiry","Put/Call","PrincipalAdjustFactor","ReportDate","Quantity","MarkPrice","PositionValue","OpenPrice","CostBasisPrice","CostBasisMoney","PercentOfNAV","FifoPnlUnrealized","Side","LevelOfDetail","OpenDateTime","HoldingPeriodDateTime","VestingDate","Code","OriginatingOrderID","OriginatingTransactionID","AccruedInterest","SerialNumber","DeliveryType","CommodityType","Fineness","Weight"
"U16084474","","","EUR","1","STK","COMMON","HEIA","HEINEKEN NV","29622888","NL0000009165","ISIN","","NL0000009165","BBG000BW4R84","AEB","","HEIA","","","","NL","1","","","","","20250321","500","77.58","38790","77.495","77.495","38747.5","19.59","42.5","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","EUR","1","STK","COMMON","MC","LVMH MOET HENNESSY LOUIS VUI","29612150","FR0000121014","ISIN","","FR0000121014","BBG000BC7Q05","SBF","","MC","","","","FR","1","","","","","20250321","100","602.5","60250","667.011","667.011","66701.1","30.43","-6451.1","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","USD","0.92464","STK","COMMON","AMZN","AMAZON.COM INC","3691937","US0231351067","ISIN","023135106","US0231351067","BBG000BVPV84","NASDAQ","","AMZN","","","","US","1","","","","","20250321","100","196.21","19621","199.06810653","199.06810653","19906.810653","9.16","-285.810653","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","USD","0.92464","STK","COMMON","CNR","CORE NATURAL RESOURCES INC","752731994","US2189371006","ISIN","218937100","US2189371006","BBG00HC114X0","NYSE","","CNR","","","","US","1","","","","","20250321","400","73.32","29328","72.79715556","72.79715556","29118.862224","13.70","209.137776","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","USD","0.92464","STK","COMMON","HHH","HOWARD HUGHES HOLDINGS INC","647324601","US44267T1025","ISIN","44267T102","US44267T1025","BBG01HTMDZ54","NYSE","","HHH","","","","US","1","","","","","20250321","100","74.99","7499","71.19968604","71.19968604","7119.968604","3.50","379.031396","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","USD","0.92464","STK","COMMON","INTC","INTEL CORP","270639","US4581401001","ISIN","458140100","US4581401001","BBG000C0G1D1","NASDAQ","","INTC","","","","US","1","","","","","20250321","500","24.26","12130","21.374867346","21.374867346","10687.433673","5.67","1442.566327","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","USD","0.92464","STK","ADR","NVO","NOVO-NORDISK A/S-SPONS ADR","10611","US6701002056","ISIN","670100205","US6701002056","BBG000BQBKR3","NYSE","","NVO","","","","DK","1","","","","","20250321","500","76.86","38430","81.497008578","81.497008578","40748.504289","17.95","-2318.504289","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","USD","0.92464","FOP","P","E3DJ5 P5670","ES 17APR25 5670 P","769614950","","","","","BBG01SX8MT87","CME","620731015","ESM5","","CME","","","50","5670","20250417","P","","20250321","3","86.75","13012.5","113.0284","113.0284","16954.26","100.00","-3941.76","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","USD","0.92464","OPT","P","BRKB  250328P00515000","BRK B 28MAR25 515 P","759604421","","","","","BBG01S5FQ5Z0","CBOE","72063691","BRK B","US0846707026","NYSE","","","100","515","20250328","P","","20250321","-1","1.92","-192","1.70935778","1.70935778","-170.935778","1.77","-21.064222","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","USD","0.92464","OPT","P","GOOGL 250328P00157500","GOOGL 28MAR25 157.5 P","767306002","","","","","BBG01SR9GCB2","CBOE","208813719","GOOGL","US02079K3059","NASDAQ","","","100","157.5","20250328","P","","20250321","-1","0.54","-54","0.76538392","0.76538392","-76.538392","0.50","22.538392","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","USD","0.92464","OPT","P","MSFT  250328P00375000","MSFT 28MAR25 375 P","759686375","","","","","BBG01S5SGJK9","CBOE","272093","MSFT","US5949181045","NASDAQ","","","100","375","20250328","P","","20250321","-1","0.645","-64.5","1.36946724","1.36946724","-136.946724","0.59","72.446724","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","USD","0.92464","OPT","P","NVO   250328P00073000","NVO 28MAR25 73 P","761064963","","","","","BBG01S92P8J8","CBOE","10611","NVO","US6701002056","NYSE","","","100","73","20250328","P","","20250321","-2","0.405","-81","0.39539448","0.39539448","-79.078896","0.75","-1.921104","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","USD","0.92464","OPT","P","VET   250620P00010000","VET 20JUN25 10 P","736192053","","","","","BBG01QD1S9Q6","CBOE","78642228","VET","CA9237251058","NYSE","","","100","10","20250620","P","","20250321","-24","1.9586","-4700.64","1.20288624","1.20288624","-2886.926976","43.26","-1813.713024","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
