UnderlyingSymbol,Beta
CRESY,1.0297151136804201
AMZN,1.081978228555552
GOOGL,1.1336760764937426
HHH,1.2788505840141011
PYPL,1.3373446528211776
HEIA.AS,0.3131446573743089
MC,1.1195297751687783
CNR,1.2111132966468832
INTC,1.2699322804756037
NVO,0.5611271793032845
ES=F,0.9638599720338658
